State,Week 2020-01-05,Week 2020-01-12,Week 2020-01-19,Week 2020-01-26,Week 2020-02-02,Week 2020-02-09,Week 2020-02-16,Week 2020-02-23,Week 2020-03-01,Week 2020-03-08,Week 2020-03-15,Week 2020-03-22,Week 2020-03-29,Week 2020-04-05,Week 2020-04-12,Week 2020-04-19,Week 2020-04-26,Week 2020-05-03,Week 2020-05-10,Week 2020-05-17,Week 2020-05-24,Week 2020-05-31,Week 2020-06-07,Week 2020-06-14,Week 2020-06-21,Week 2020-06-28,Week 2020-07-05,Week 2020-07-12,Week 2020-07-19,Week 2020-07-26,Week 2020-08-02,Week 2020-08-09,Week 2020-08-16,Week 2020-08-23,Week 2020-08-30,Week 2020-09-06,Week 2020-09-13,Week 2020-09-20,Week 2020-09-27,Week 2020-10-04,Week 2020-10-11,Week 2020-10-18,Week 2020-10-25,Week 2020-11-01,Week 2020-11-08,Week 2020-11-15,Week 2020-11-22,Week 2020-11-29,Week 2020-12-06,Week 2020-12-13,Week 2020-12-20
Illinois,0.397515528,0.592592593,0,0.255319149,0.308707124,0.435779817,0.628571429,0,0,0,0.671604938,1.264397906,0,0,0.701754386,0,1.13064133,0.620795107,0,0,0,0.22406639,0.339816934,0.334645669,0.510504202,0.616639478,1.280487805,0.817679558,0.32231405,1.461456103,0.508086253,2.296977661,2.763485477,0.446280992,0.838471023,0.265822785,0.588633288,0.23715415,0.342105263,0.857571214,0.423913043,0,0.422764228,0.486486486,0,1.886792453,0,0.193548387,0,0.597609562,0.41025641
Indiana,0,0,0,0,0.686015831,0,1.50310559,0,0,0,0,0,2.707259953,2.038369305,0,0,0,1.418960245,0,0.584070796,0,0.616182573,0,0.736220472,1.191176471,1.438825449,1.609756098,2.085082873,0.859504132,2.380085653,0.625336927,0,3.22406639,1.041322314,0.628853268,1.329113924,1.373477673,0.56916996,2.5,1.013493253,0,0.701840491,1.902439024,2.108108108,0,1.088534107,0,0.451612903,0,0,0
Iowa,0,0.948148148,0,0,0,2.266055046,0,0,2.303754266,0,0,0,0,0,0,4.47761194,0,1.50764526,0,1.221238938,0,0,0,0,2.495798319,3.08319739,1.682926829,0,1.719008264,0,2.657681941,2.546649146,0,0,0,0,1.451962111,0,0,0,0,0,0,0,0,2.322206096,0,0,0,2.988047809,2.114398422
Kansas,0,0,0,1.468085106,0,0,0,0,2.559726962,0,0,0,0,0,1.945773525,0,0,0,0,0,1.493848858,0,1.887871854,1.807086614,0,0,1.829268293,0,0,0,1.485175202,0,0,2.752066116,3.311960543,1.639240506,0,0,0,2.494752624,4.710144928,1.727607362,2.409756098,0,2.358044164,0,0,0,0,0,0
Kentucky,1.51552795,1.303703704,1.542857143,0,0,0,2.295652174,0.571713147,0,0,0,0,0,1.569544365,1.212121212,0,0,0,0,0.902654867,0.956063269,1.904564315,1.170480549,1.137795276,0.907563025,0,2.451219512,0,0,3.632762313,0,0,3.377593361,1.636363636,2.892725031,4.03164557,1.059539919,1.754940711,0,0,2.967391304,0,1.564227642,0,0,1.741654572,1.48,0,2.015355086,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0.328467153,0,2.418848168,0,1.630695444,0,3.268656716,0,0,1.235370611,0,3.88400703,0.952282158,2.340961098,1.137795276,0,1.096247961,0,1.022099448,1.289256198,1.837259101,1.836927224,4.943495401,0,0,1.048088779,1.063291139,1.059539919,0,1.342105263,0,0,2.213496933,0,0,0,6.966618287,1.48,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.867256637,2.808435852,0,0,0,0,0,0,0,10.74380165,0,0,0,0,2.491735537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,1.339130435,0,0,0,0,0,0.756440281,0.876498801,0,0.895522388,1.171021378,0,0.66710013,0.477876106,0.537785589,0,0.64187643,0.602362205,0.510504202,0.616639478,1.975609756,0.572375691,0,1.043897216,0,0,0.972337483,0.483471074,0,1.151898734,0.588633288,0.4743083,0,0,0.800724638,0.620858896,0.845528455,0,1.668769716,2.757619739,0,0,1.074856046,0,0
Massachusetts,0,0,0,0,0.514511873,0,1.202484472,0.334661355,0,0.153284672,0,1.09947644,0.637002342,0,0,0,0,0,0,0,0,0.44813278,0.528604119,0,0,0.479608483,1.134146341,0,0.644628099,2.588865096,0,2.396846255,0.818810512,0.409090909,0.503082614,1.018987342,0,0,0,0,0,0,0,0.864864865,0,3.338171263,1.4,0,0,0,0.788954635
Michigan,0,0,0,0,0,0,0,0.585657371,2.04778157,0,0,0.852094241,1.592505855,1.223021583,0.4784689,0.626865672,1.695961995,0.443425076,1.853055917,0.371681416,0.717047452,0.336099585,0.453089245,0,0,0.822185971,0.914634146,1.185635359,1.933884298,2.755888651,1.055256065,2.64651774,1.330567082,1.376033058,0.796547472,1.993670886,1.255751015,0.33201581,0.526315789,0.623688156,0,0.43190184,0.634146341,1.351351351,0.616719243,2.031930334,0.56,0,0,0,0
Minnesota,0,0.414814815,0.514285714,1.914893617,0.754617414,1.089449541,0,0,0,0,0,1.539267016,0,0,0,0,0,0.709480122,0,0.584070796,0,0,0,0,1.191176471,0.753670473,0.804878049,1.390055249,0.859504132,0,0.625336927,0,0,0.595041322,0,2.126582278,0,0,0,0,0,0,0,0,1.015772871,3.410740203,0,0,0,0,0
Mississippi,0,0,0,0,0,3.006880734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.342105263,0,0,0,0,0,0,6.095791001,0,1.290322581,0,0,0
